CREATED_AT,USER_ID
2020-04-30 20:58:11.404,2500047
2020-04-20 19:11:13.470,2413025
2018-12-10 14:42:41.532,1147589
2018-03-17 11:38:08.518,826925
2017-06-07 19:43:19.785,515667
2020-01-30 10:27:01.518,2025003
2019-12-13 15:40:55.724,1918913
2019-05-23 16:06:55.774,1500488
2018-07-25 11:31:08.963,955890
2020-04-07 19:34:29.104,2346917
2019-09-24 08:40:54.695,1712503
2016-12-19 13:09:20.719,335734
2019-01-31 15:45:25.128,1223341
2020-08-07 21:19:29.570,3080781
2018-02-20 17:53:42.706,760858
2020-04-14 16:18:49.590,2377113
2018-05-03 17:31:20.503,874517
2018-02-27 21:46:39.998,771133
2020-03-18 10:44:58.034,2211666
2015-03-31 09:52:23.942,51273
2015-10-08 21:16:58.975,82624
2020-05-06 11:41:15.764,2556375
2019-02-13 09:14:04.157,1258463
2019-03-22 09:58:02.695,1339879
2020-05-27 07:30:20.950,2739158
2019-04-13 23:40:43.844,1431167
2017-09-10 09:22:43.992,599357
2019-12-01 21:55:48.327,1877079
2019-10-28 22:18:07.935,1789053
2020-08-10 20:03:36.570,3089514
2019-09-29 09:20:40.433,1725645
2019-06-26 13:36:58.684,1551614
2020-06-07 15:33:30.479,2824249
2020-04-09 12:52:56.442,2356491
2020-05-22 11:34:44.078,2707165
2020-05-17 08:55:00.343,2643460
2019-11-02 07:08:08.427,1798229
2018-03-11 15:52:21.802,821558
2018-02-22 09:29:46.381,763525
2018-11-29 18:29:53.543,1125124
2018-06-19 12:07:09.415,924174
2019-08-22 08:42:52.016,1653639
2019-05-15 16:38:00.568,1485425
2020-06-23 10:04:10.292,2909992
2017-09-28 17:15:12.379,617696
2020-01-24 21:15:15.500,2012520
2016-10-11 12:17:22.311,288113
2020-02-18 01:17:43.250,2086920
2017-03-15 11:59:46.673,411729
2020-05-04 10:54:59.589,2530042
2019-08-15 16:36:16.539,1641099
2018-04-10 13:18:35.392,848565
2020-04-01 19:17:37.980,2309744
2018-06-08 08:33:22.207,913563
2020-04-21 20:38:58.256,2421939
2020-03-01 15:26:05.445,2115324
2019-03-26 11:51:15.328,1365223
2020-03-17 19:48:29.472,2199770
2019-03-27 15:28:06.229,1380987
2017-10-16 12:26:14.653,632528
2017-02-13 11:46:19.645,379091
2016-01-21 21:57:56.744,120333
2018-02-13 06:59:49.442,748064
2016-12-15 12:28:23.767,329703
2015-03-24 06:33:14.385,50605
2019-07-09 15:54:18.060,1573693
2018-12-06 13:58:00.762,1140456
2019-03-11 16:41:54.695,1313703
2019-11-22 17:48:34.547,1848861
2020-06-09 09:12:56.350,2835130
2020-06-06 18:46:55.554,2820877
2020-05-17 11:41:44.336,2644736
2016-07-13 09:33:12.837,238074
2018-12-04 19:52:25.071,1135927
2020-05-31 15:02:58.847,2770922
2018-04-16 18:07:45.923,854474
2018-03-08 20:57:28.805,813988
2016-09-27 04:22:50.007,278445
2020-04-24 13:05:46.541,2441762
2018-02-16 20:53:22.762,757502
2016-08-08 17:20:56.183,251347
2020-03-23 17:00:14.065,2259658
2016-03-11 22:36:21.494,169665
2020-02-07 12:18:53.043,2047758
2018-12-30 20:11:30.522,1178893
2019-12-14 13:22:22.688,1920775
2020-01-26 07:45:25.428,2013910
2020-05-02 15:40:40.033,2516336
2019-01-14 18:27:52.722,1196198
2017-04-29 11:58:56.353,474763
2019-05-22 12:56:58.825,1497632
2019-03-28 11:07:35.596,1389150
2019-03-28 05:48:32.020,1386279
2020-05-07 08:32:57.289,2567303
2019-11-24 16:35:50.429,1852025
2018-02-08 20:25:31.497,735282
2016-07-27 08:56:34.319,245348
2020-04-23 14:47:25.909,2434464
2020-03-25 13:44:47.128,2267280
2017-05-29 09:34:08.168,502653
2019-03-20 21:19:15.864,1335598
2018-08-27 12:39:28.896,991283
2020-07-16 11:52:13.154,2998473
2016-11-30 04:05:31.844,318010
2019-03-30 11:25:58.480,1406290
2020-05-25 18:33:21.618,2728294
2020-09-09 11:39:22.887,3200323
2018-03-16 11:40:08.953,826227
2016-11-25 13:14:39.265,314299
2018-03-14 13:50:21.293,824322
2019-09-23 09:52:08.888,1710026
2019-03-31 09:20:37.310,1407637
2018-04-10 20:33:04.350,849264
2019-10-08 10:17:01.838,1746086
2015-02-11 12:11:04.849,37711
2015-08-10 20:46:45.595,69562
2020-06-24 10:58:22.646,2915469
2019-09-12 18:08:19.918,1691812
2016-12-09 14:30:40.430,324330
2020-03-19 07:39:27.896,2229340
2020-07-04 08:38:49.385,2957070
2017-03-24 08:44:52.869,444739
2020-07-08 12:09:45.656,2970498
2019-03-28 15:51:57.544,1392111
2019-03-20 10:29:57.123,1333499
2020-05-20 09:09:15.527,2686856
2020-03-31 14:39:46.927,2300470
2019-02-10 20:51:16.027,1245701
2020-06-03 15:42:26.268,2795139
2019-11-04 19:12:58.744,1803197
2018-02-05 15:44:27.925,726954
2019-07-25 14:09:31.284,1600661
2014-06-23 00:00:00.000,15251
2019-03-13 18:46:54.869,1319185
2019-10-08 18:47:40.963,1747376
2016-02-15 12:26:26.793,146306
2020-04-20 13:11:59.778,2410176
2020-07-23 12:12:56.952,3021937
2019-12-05 16:37:07.033,1891588
2020-06-23 22:09:04.168,2913825
2020-03-30 20:53:46.255,2296399
2016-07-12 17:41:42.509,237686
