last_email,weekend,same_day,avg_email_sent,opened_email,row_num,discount%,max_purchase_discount,last_pos_email,avg_days_between_purchases,purchase
0,0,0,19.88888888888889,0,188,15.0,15.0,32,33.875,0
0,0,0,17.0,0,90,10.0,0.0,0,105.0,1
0,0,0,0.0,0,105,0.0,0.0,106,0.0,0
1,0,0,6.5,0,15,10.0,10.0,14,1.0,1
0,0,0,291.0,0,292,0.0,15.0,72,0.0,0
0,0,0,201.0,1,808,15.0,0.0,551,53.0,0
1,1,1,12.5,0,108,0.0,0.0,3,61.71428571428572,1
0,0,0,20.5,1,86,10.0,15.0,55,0.3333333333333333,0
0,0,1,1.9375,0,47,0.0,0.0,0,3.866666666666666,1
1,1,0,4.0,1,40,0.0,0.0,7,9.714285714285714,1
0,0,0,47.44444444444444,0,436,10.0,15.0,45,68.25,0
1,0,0,37.23529411764706,1,650,0.0,0.0,49,83.75,1
0,0,0,417.5,0,837,0.0,0.0,52,0.0,0
0,0,0,21.25,0,801,0.0,0.0,35,14.8,0
0,0,0,89.2,1,451,0.0,0.0,75,57.25,1
0,0,0,61.5,1,125,0.0,0.0,69,2.0,0
0,0,0,31.647058823529413,0,1110,0.0,10.0,38,35.63636363636363,0
0,0,0,0.0,0,49,10.0,0.0,50,0.0,0
0,0,0,112.0,0,113,10.0,20.0,77,0.0,0
0,0,0,15.0,1,128,0.0,15.0,72,2.571428571428572,0
0,0,0,118.75,1,479,0.0,10.0,271,22.666666666666668,0
0,0,0,38.9,0,399,15.0,15.0,105,26.55555555555556,0
1,0,0,16.0,1,34,15.0,15.0,33,6.0,1
0,0,0,0.0,0,202,0.0,0.0,203,0.0,0
0,0,0,0.0,0,26,15.0,0.0,27,0.0,0
1,1,0,9.6,1,53,0.0,0.0,22,22.25,1
0,0,0,24.296296296296298,0,683,10.0,15.0,1,32.5,1
0,0,0,0.0,0,139,10.0,0.0,140,0.0,0
1,0,0,0.5,0,6,0.0,0.0,3,2.333333333333333,1
0,0,0,0.0,1,124,15.0,0.0,125,0.0,0
0,0,0,0.0,0,362,0.0,0.0,363,0.0,0
0,0,0,1.0,1,0,0.0,0.0,0,0.0,1
0,0,0,0.0,1,140,15.0,0.0,141,0.0,0
1,0,0,2.333333333333333,1,10,15.0,15.0,8,0.5,1
0,0,0,60.45454545454545,1,676,15.0,15.0,176,74.9,0
1,1,0,5.142857142857143,1,43,15.0,15.0,16,14.666666666666666,1
1,0,1,17.105263157894736,0,344,15.0,15.0,52,41.333333333333336,1
1,1,0,98.5,1,398,15.0,15.0,260,122.66666666666669,1
1,0,0,0.5,1,1,15.0,15.0,0,1.0,1
0,0,0,17.384615384615383,0,478,0.0,15.0,2,13.96,0
0,0,0,28.307692307692307,0,381,10.0,15.0,86,14.583333333333334,0
0,0,0,1.75,0,11,0.0,10.0,0,17.0,1
0,0,0,6.6,0,76,0.0,15.0,4,29.0,1
1,0,1,58.26829268292683,0,2430,15.0,0.0,113,19.9,1
0,0,0,52.11111111111112,0,478,0.0,0.0,30,54.625,0
0,0,0,47.66666666666666,1,292,0.0,0.0,267,6.8,1
0,0,0,0.0,0,200,0.0,0.0,201,0.0,0
0,0,0,0.0,0,49,0.0,0.0,50,0.0,0
1,0,1,6.5,1,60,0.0,10.0,3,17.142857142857142,1
0,0,0,115.0,1,116,0.0,0.0,23,0.0,0
0,0,0,0.0,1,42,15.0,0.0,43,0.0,0
0,0,0,13.954545454545457,0,329,10.0,15.0,71,9.523809523809524,0
0,0,0,37.0,0,228,20.0,10.0,79,116.2,0
0,0,0,0.0,0,22,0.0,0.0,23,0.0,0
0,0,0,79.33333333333333,0,241,15.0,10.0,47,133.5,0
0,0,0,88.76923076923077,0,1167,0.0,0.0,113,16.416666666666668,0
1,0,1,32.4,1,167,15.0,0.0,136,56.25,1
0,0,0,68.0,0,138,15.0,0.0,47,0.0,0
0,0,0,10.333333333333334,0,34,0.0,0.0,26,0.0,0
0,0,0,293.0,0,294,0.0,0.0,31,0.0,0
1,0,1,59.66666666666666,0,728,15.0,15.0,142,75.63636363636364,1
0,0,0,9.0,0,10,0.0,0.0,5,0.0,0
0,0,0,28.0,1,87,0.0,0.0,41,3.5,0
0,0,0,77.5,1,157,15.0,20.0,104,3.0,0
0,0,0,0.0,1,68,10.0,0.0,69,0.0,0
1,0,1,7.647058823529412,0,147,15.0,15.0,12,9.4375,1
1,1,1,106.6,0,1076,15.0,0.0,3,97.77777777777776,1
1,0,1,12.545454545454543,1,149,15.0,15.0,109,7.0,1
1,0,1,0.5,1,1,15.0,15.0,0,0.0,1
0,1,0,45.0,1,46,15.0,15.0,46,0.0,1
1,0,1,43.333333333333336,1,266,0.0,0.0,125,20.6,1
0,0,0,0.0,1,195,0.0,0.0,196,0.0,0
0,0,0,0.0,0,3,0.0,0.0,4,0.0,0
1,0,1,14.181818181818182,1,167,15.0,15.0,90,12.7,1
0,0,0,0.0,1,30,0.0,0.0,31,0.0,0
0,0,0,0.0,0,78,15.0,0.0,79,0.0,0
0,0,0,0.0,1,13,0.0,0.0,14,0.0,0
0,0,0,0.0,0,38,0.0,0.0,39,0.0,0
0,0,0,38.28,0,982,10.0,15.0,81,30.416666666666668,0
0,0,0,0.0,1,1,0.0,0.0,1,0.0,1
0,0,0,54.0,1,55,10.0,10.0,55,0.0,1
0,0,0,6.0,0,7,20.0,20.0,7,0.0,1
0,0,0,0.0,0,17,0.0,0.0,18,0.0,0
0,0,0,1.0,0,0,15.0,15.0,0,0.0,1
