,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_14day,disc3_pre_1day,disc5_pre_13day,products_pre_7day,products_pre_14day,new_users_pre_3days,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_7day,year,month,grid_id
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2400.0,2015,10,72
253,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2600.0,2015,10,72
434,0.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4000.0,2015,10,72
615,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,10.0,0.0,0.0,7900.0,2015,10,72
796,0.0,0.0,0.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0,2400.0,2015,10,72
977,2.0,36.0,120.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,10.0,0.0,0.0,4200.0,2015,10,72
1158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,5000.0,2015,10,72
1339,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,2.0,0.0,15000.0,2015,11,72
1520,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,5000.0,2015,11,72
1701,1.0,45.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,7.0,0.0,2600.0,2015,11,72
1882,0.0,0.0,0.0,119.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,0.0,4800.0,2015,11,72
2063,1.0,22.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,2.0,0.0,8500.0,2015,11,72
2244,2.0,0.0,2.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,0.0,8000.0,2015,11,72
2425,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,2200.0,2015,11,72
2606,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,1.0,2.0,7400.0,2015,11,72
