,users,users_received_1,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,opened_8,camp_volume_8,users_received_16,campaign_type_16,opened_16,camp_volume_16,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_7day,disc2_pre_14day,disc3_pre_1day,disc4_pre_2day,disc5_pre_1day,disc5_pre_13day,products_pre_3days,products_pre_7day,products_pre_14day,new_users_pre_3days,new_users_pre_7day,new_users_pre_14day,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_3days,full_revenue_pre_7day,full_revenue_pre_14day,year,month
194,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,0.0,2.0,3.0,6.0,3.0,6600.0,22000.0,7400.0,2015,11
195,0.0,127.0,1.0,44.0,127.0,122.0,2.0,38.0,122.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,0.0,1.0,5.0,3.0,2.0,12600.0,9800.0,5200.0,2015,11
196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,7.0,17.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,2.0,5.0,1.0,1.0,6.0,1.0,2.0,15600.0,2600.0,5000.0,2015,11
197,0.0,7.0,1.0,1.0,7.0,54.0,2.0,18.0,54.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,6.0,1.0,0.0,7.0,3.0,1.0,21425.0,10700.0,3300.0,2015,11
198,1.0,125.0,3.0,46.0,127.0,3.0,2.0,2.0,3.0,119.0,2.0,29.0,119.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,4.0,1.0,0.0,5.0,1.0,3.0,15625.0,2200.0,7200.0,2015,11
199,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,5.0,1.0,1.0,17625.0,2400.0,3300.0,2015,11
200,0.0,132.0,3.0,43.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,1.0,2.0,5.0,0.0,2.0,9.0,1.0,3.0,23800.0,2000.0,6600.0,2015,12
201,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,122.0,2.0,38.0,122.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,5.0,3.0,0.0,10.0,3.0,6.0,29000.0,8200.0,22000.0,2015,12
202,1.0,29.0,2.0,7.0,29.0,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,5.0,2.0,0.0,9.0,2.0,3.0,23600.0,5400.0,9800.0,2015,12
203,1.0,107.0,2.0,44.0,107.0,125.0,3.0,46.0,127.0,54.0,2.0,18.0,54.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,13600.0,7825.0,2600.0,2015,12
