,volume,disc1,disc2,disc3,disc4,disc5,users
911,9,2.0,4.0,2.0,1.0,0.0,9
912,10,2.0,5.0,3.0,0.0,0.0,6
913,6,4.0,1.0,1.0,0.0,0.0,5
914,5,2.0,3.0,0.0,0.0,0.0,4
915,7,2.0,4.0,1.0,0.0,0.0,7
916,5,2.0,3.0,0.0,0.0,0.0,5
917,6,4.0,1.0,1.0,0.0,0.0,6
918,11,3.0,8.0,0.0,0.0,0.0,11
919,3,1.0,2.0,0.0,0.0,0.0,3
920,3,1.0,1.0,1.0,0.0,0.0,3
921,4,2.0,2.0,0.0,0.0,0.0,4
922,7,1.0,5.0,1.0,0.0,0.0,7
923,7,1.0,5.0,1.0,0.0,0.0,7
924,2,0.0,2.0,0.0,0.0,0.0,2
925,10,3.0,4.0,3.0,0.0,0.0,10
926,3,0.0,0.0,3.0,0.0,0.0,3
927,4,3.0,1.0,0.0,0.0,0.0,3
928,12,7.0,5.0,0.0,0.0,0.0,11
929,8,2.0,5.0,1.0,0.0,0.0,7
930,8,2.0,6.0,0.0,0.0,0.0,8
931,14,10.0,3.0,1.0,0.0,0.0,14
932,6,0.0,5.0,1.0,0.0,0.0,6
933,6,3.0,3.0,0.0,0.0,0.0,6
934,6,3.0,3.0,0.0,0.0,0.0,6
935,13,2.0,7.0,4.0,0.0,0.0,11
936,10,4.0,3.0,3.0,0.0,0.0,9
937,510,4.0,4.0,502.0,0.0,0.0,9
938,17,7.0,7.0,3.0,0.0,0.0,16
939,12,3.0,5.0,4.0,0.0,0.0,12
940,10,2.0,5.0,3.0,0.0,0.0,8
941,9,5.0,3.0,0.0,0.0,1.0,9
942,28,6.0,12.0,10.0,0.0,0.0,22
943,20,7.0,11.0,2.0,0.0,0.0,20
944,4,2.0,2.0,0.0,0.0,0.0,4
945,7,3.0,2.0,2.0,0.0,0.0,7
946,12,7.0,5.0,0.0,0.0,0.0,11
947,3,1.0,2.0,0.0,0.0,0.0,3
948,7,1.0,5.0,1.0,0.0,0.0,6
949,11,4.0,5.0,2.0,0.0,0.0,8
950,11,3.0,8.0,0.0,0.0,0.0,10
951,9,3.0,3.0,3.0,0.0,0.0,7
952,12,7.0,3.0,2.0,0.0,0.0,12
953,9,5.0,2.0,2.0,0.0,0.0,7
954,1,1.0,0.0,0.0,0.0,0.0,1
955,13,4.0,8.0,1.0,0.0,0.0,10
956,10,5.0,2.0,2.0,1.0,0.0,10
957,11,4.0,6.0,1.0,0.0,0.0,11
958,8,4.0,2.0,2.0,0.0,0.0,6
959,9,4.0,3.0,2.0,0.0,0.0,8
960,20,4.0,10.0,3.0,1.0,2.0,17
961,19,8.0,9.0,2.0,0.0,0.0,15
962,34,14.0,20.0,0.0,0.0,0.0,31
963,54,9.0,37.0,7.0,0.0,1.0,43
964,60,16.0,31.0,13.0,0.0,0.0,46
965,65,15.0,39.0,11.0,0.0,0.0,57
966,49,12.0,32.0,5.0,0.0,0.0,43
967,33,18.0,12.0,3.0,0.0,0.0,29
968,6,3.0,3.0,0.0,0.0,0.0,6
969,6,3.0,3.0,0.0,0.0,0.0,6
970,12,6.0,5.0,1.0,0.0,0.0,11
971,5,1.0,3.0,0.0,0.0,1.0,5
972,7,2.0,3.0,2.0,0.0,0.0,7
973,7,1.0,5.0,1.0,0.0,0.0,7
974,5,2.0,3.0,0.0,0.0,0.0,3
975,6,4.0,2.0,0.0,0.0,0.0,6
976,3,1.0,1.0,1.0,0.0,0.0,3
977,7,2.0,4.0,1.0,0.0,0.0,7
978,35,6.0,28.0,1.0,0.0,0.0,11
979,5,2.0,2.0,1.0,0.0,0.0,5
980,12,6.0,4.0,2.0,0.0,0.0,11
981,9,3.0,6.0,0.0,0.0,0.0,9
